City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
176,Tanggu,CN,76.96,few clouds,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
184,Dwarka,IN,82.83,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
186,Ouro Preto Do Oeste,BR,84.43,clear sky,-10.7481,-62.2158,Graúna Resort Hotel
187,Siocon,PH,78.96,overcast clouds,7.7061,122.1353,ABS Hotel
193,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
201,Lake Havasu City,US,89.06,clear sky,34.4839,-114.3224,Heat Hotel
203,Isangel,VU,75.47,broken clouds,-19.55,169.2667,Tanna Lodge
206,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Central
212,Vung Tau,VN,79.34,overcast clouds,10.346,107.0843,Seaside Resort
214,Lompoc,US,73.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
222,Labuhan,ID,79.52,light rain,-6.8844,112.2051,DoubleFAG
223,Sechura,PE,78.93,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
225,Posse,BR,82.92,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
228,Yenagoa,NG,76.59,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
231,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
232,Chaozhou,CN,71.46,overcast clouds,23.6651,116.6379,Seven Corner View Homestay
234,Rosarito,MX,75.63,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
236,Prescott,US,79.27,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
239,Russell,US,88.02,light rain,32.3502,-85.1999,Macs
242,Veraval,IN,84.52,overcast clouds,20.9,70.3667,Lords Inn Somnath
246,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
247,Dabakala,CI,72.07,overcast clouds,8.3667,-4.4333,Hôtel Campement
251,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
252,Ifakara,TZ,71.51,broken clouds,-8.1333,36.6833,Tanzanian Training Centre for International Health
253,Avarua,CK,78.98,light rain,-21.2078,-159.775,Paradise Inn
259,Ambilobe,MG,74.61,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
262,Moindou,NC,74.91,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
263,Reconquista,AR,71.73,clear sky,-29.15,-59.65,Grand Hotel
265,Umm Lajj,SA,80.94,clear sky,25.0213,37.2685,Moon light Furnished Units
266,Awjilah,LY,77.0,clear sky,29.1081,21.2869,المنزل
268,Faya,SA,75.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
271,Kapoeta,SS,76.8,moderate rain,4.7717,33.5903,Eastgate Hotel
273,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
276,Thinadhoo,MV,83.86,broken clouds,0.5333,72.9333,
279,Agbor,NG,74.08,broken clouds,6.2518,6.1934,MIRAMAS HOTEL
280,Icod De Los Vinos,ES,75.61,clear sky,28.3724,-16.7119,Hotel El Patio
284,San Ramon,US,81.81,clear sky,37.7799,-121.978,San Ramon Marriott
288,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
290,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
291,Bonfim,BR,73.42,moderate rain,3.0833,-59.95,
293,Moundsville,US,76.84,overcast clouds,39.9203,-80.7431,Sleep Inn & Suites
298,Marsh Harbour,BS,79.56,broken clouds,26.5412,-77.0636,Abaco Beach Resort
300,Ouesso,CG,72.79,overcast clouds,1.6136,16.0517,ABENIE Hotel
305,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
309,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
310,Sao Filipe,CV,72.28,clear sky,14.8961,-24.4956,Hotel Xaguate
311,Korla,CN,80.1,overcast clouds,41.7597,86.1469,Gulisitan Hotel
319,Karema,TZ,72.5,overcast clouds,-6.8205,30.4389,
326,Quang Ngai,VN,77.13,overcast clouds,15.1167,108.8,Central Hotel
330,Wahiawa,US,77.32,overcast clouds,21.5028,-158.0236,The Inn At Schofield
336,Silver City,US,70.3,clear sky,32.7701,-108.2803,Copper Manor Motel
337,Abha,SA,75.02,clear sky,18.2164,42.5053,Abha Hotel
347,Kavieng,PG,82.67,few clouds,-2.5744,150.7967,Nusa Island Retreat
348,Amahai,ID,77.83,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
349,Tezu,IN,70.79,clear sky,27.9167,96.1667,Circuit House
350,Half Moon Bay,US,80.58,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
354,Hong Gai,VN,80.51,overcast clouds,20.956,107.0946,Hạ Long DC Hotel
355,Rampura,IN,88.32,few clouds,30.25,75.2333,Akash
357,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
362,Port Keats,AU,72.43,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
365,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
366,Sasmuan,PH,80.35,overcast clouds,14.9358,120.623,Allen Mercado
367,Caravelas,BR,74.57,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
368,Raga,SS,81.79,overcast clouds,8.4596,25.678,
370,Buala,SB,79.77,light rain,-8.145,159.5921,Maringe Lagoon Lodge
375,Kafanchan,NG,71.74,light rain,9.5833,8.3,Sir Joe guest Inn
377,Livermore,US,80.94,clear sky,37.6819,-121.768,"Motel 6 Livermore, CA"
381,Cockburn Town,TC,79.66,few clouds,21.4612,-71.1419,Osprey Beach Hotel
385,Port Blair,IN,82.96,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
386,Shache,CN,71.51,light rain,38.4167,77.2406,Delong Hotel
388,Majene,ID,77.94,light rain,-3.5403,118.9707,Kost Putri RABBANI
389,Manuk Mangkaw,PH,83.55,overcast clouds,4.8,119.85,
390,Socorro,US,79.03,broken clouds,31.6546,-106.3033,guarderia imss papalote
394,Rafraf,TN,75.52,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
395,Lira,UG,72.3,overcast clouds,2.235,32.9097,ST Lira Hotel Limited
398,Sao Felix Do Xingu,BR,87.91,clear sky,-6.6447,-51.995,Rio Xingu Camping
400,Alugan,PH,78.62,scattered clouds,12.2188,125.4808,JM Lodge
402,Ratnagiri,IN,82.67,clear sky,16.9833,73.3,Hotel Landmark
404,Mount Pleasant,US,71.74,heavy intensity rain,32.7941,-79.8626,Best Western Patriots Point
